sha256,numero_archivos,clases,particiones,entre_clases,entre_particiones,rutas_relativas
019d4bcbb9950c5024b160c1b3b6cce57f81b9655fb3994c4c746901290b3bb5,5,healthy,sin_particion,False,False,healthy/0146.jpg | healthy/0447.jpg | healthy/0715.jpg | healthy/1759.jpg | healthy/1994.jpg
022901652a4cbded66c787ce4dca14da2da1b66daccd02d6ec2421c0e89850c4,2,meningioma,sin_particion,False,False,meningioma/0647.jpg | meningioma/1452.jpg
03cbc7410cde2c57928e04c7183fb2b26e4d7e64a962b20f9d91136fb063ef35,2,healthy,sin_particion,False,False,healthy/1133.jpg | healthy/1443.jpg
04f5c86f3d1cd94de353840f423b66dda0c971b981d5d0abc1bb68ba1ab0e688,2,healthy,sin_particion,False,False,healthy/0132.jpg | healthy/1607.jpg
0523596d37bfbf1caa9b3375760895e99069a75a4f709e76dd8c80227b74fb0c,2,meningioma,sin_particion,False,False,meningioma/0399.jpg | meningioma/1629.jpg
0609971dac1a5f1f02fffb7edc989b4e0ef85c0b7a7e5732a46fdb8ed39879b6,5,meningioma,sin_particion,False,False,meningioma/0278.jpg | meningioma/1101.jpg | meningioma/1333.jpg | meningioma/1556.jpg | meningioma/1637.jpg
06c9002e070e3c2f87205e5132d3f50f58486c142d6b6b13f3f76102d2423915,2,healthy,sin_particion,False,False,healthy/0619.jpg | healthy/0925.jpg
073543a383a399175e7bec67364b52cecae61722ebb06dae02b7c739c42a58ca,2,healthy,sin_particion,False,False,healthy/1334.jpg | healthy/1932.jpg
0797a735faad223c03644f447cbb569141d289b65ffa806323736c015a910911,2,healthy,sin_particion,False,False,healthy/1423.jpg | healthy/1893.jpg
07c240bce3612de9eee615ea9ec705fa03e98e9902cde5e5f7cdc7ae1874e68a,2,meningioma,sin_particion,False,False,meningioma/1538.jpg | meningioma/1574.jpg
07d7a245c45cd58599dff57f8832d99020fee22fe600d829448517ab1c2c0edd,2,healthy,sin_particion,False,False,healthy/0114.jpg | healthy/1924.jpg
086028d58b5020c1e9f5dd47a702c7df534c5ec3728d4740efffe3d4e66ab56e,2,healthy,sin_particion,False,False,healthy/1362.jpg | healthy/1646.jpg
086cd15f4d7005c7214cb62713a24903072f1dfaf36f31e974d8da6d11f50951,3,healthy,sin_particion,False,False,healthy/0419.jpg | healthy/0998.jpg | healthy/1917.jpg
0a5cc523c34fe5db5c47bed8e5356ed2bb3a2c95001bb69ae07bc6e0d8549c5b,2,meningioma,sin_particion,False,False,meningioma/0596.jpg | meningioma/1366.jpg
0a767051df74afb4b52d6fe6df2d113fb1cd415997a0b3ee4e6d61ce1f31debf,3,healthy,sin_particion,False,False,healthy/0128.jpg | healthy/1398.jpg | healthy/1711.jpg
0db2bc068dd4dcc32204eb2aff65e8305b2af1730a0e8c16b84a891826618faa,3,healthy,sin_particion,False,False,healthy/0120.jpg | healthy/0736.jpg | healthy/1705.jpg
0fe981fc5a73ee74841e7dac55abf12285bc00058d2067a8757516b378adfa46,2,meningioma,sin_particion,False,False,meningioma/1183.jpg | meningioma/1412.jpg
0fedfaa0ead4ed282117ca25ef4fd0fe3d1200dea8b429514749c64ab1cc2bd7,2,healthy,sin_particion,False,False,healthy/0480.jpg | healthy/1886.jpg
114479139e7f58820711981fc44a2080d2716b0ce240c7f1f03cac2edbe62871,2,meningioma,sin_particion,False,False,meningioma/1462.jpg | meningioma/1532.jpg
1173fbe11f41ebe83f6c041be73844f704bbb10b8a51aed70fd0f0545baf95ac,2,healthy,sin_particion,False,False,healthy/0719.jpg | healthy/1169.jpg
1185efde12452c591a36864676c9d6b79974c49f77604c108f87032322c071f6,2,healthy,sin_particion,False,False,healthy/0761.jpg | healthy/1604.jpg
11ab9708afbaee0f50e6613d8a39bdda5a2c3960e6d2845b734f17c2d53d1597,2,meningioma,sin_particion,False,False,meningioma/1290.jpg | meningioma/1613.jpg
1238dd02ab7ea56c9aca53bfc8098b28bdd258964f94c23f7c2fe8331f8447c7,2,healthy,sin_particion,False,False,healthy/0376.jpg | healthy/0956.jpg
13993ae5aee1a60f7a159ad4a8cc0e58de6943d63fc68d24e99770c8b4fb6f29,2,healthy,sin_particion,False,False,healthy/1087.jpg | healthy/1358.jpg
14ee382ed10d7627881d63d988b3b229c6db2a0c08caffccf6bbe96e6566824d,2,healthy,sin_particion,False,False,healthy/0308.jpg | healthy/0530.jpg
15bfe7dccefdb4e1d4bbd6703e865c2f31d0c2705fa284be9d10fe087197341b,2,meningioma,sin_particion,False,False,meningioma/1066.jpg | meningioma/1550.jpg
1638de7b9074d581e3c6ff9e99895d733cc16fe9f8fcce184819114c207329bf,2,meningioma,sin_particion,False,False,meningioma/1115.jpg | meningioma/1383.jpg
173c0ec141b7ea932aa63051ff3b99dae653b2941436ce807a364166e529a7b5,2,meningioma,sin_particion,False,False,meningioma/0275.jpg | meningioma/1440.jpg
17b0d63ce3011c863289b706d97e55d80b854a9e7a16845b9ac5060258eb2a96,2,healthy,sin_particion,False,False,healthy/0058.jpg | healthy/0873.jpg
180b5aeb440f2b9159c18b3a779899a6bb7468620b189aba07542316455dc2a2,2,healthy,sin_particion,False,False,healthy/0414.jpg | healthy/1567.jpg
18de84b935d9051bea791917aa52166f9facf0d64e227e6c650f1a705fc47262,3,healthy,sin_particion,False,False,healthy/1022.jpg | healthy/1029.jpg | healthy/1595.jpg
1976d625804f9db125ca067602f5e7e59f4f31aa8f126e9ac370dd035284d11a,2,healthy,sin_particion,False,False,healthy/1236.jpg | healthy/1536.jpg
19e338a9044bf8854e6d49361e906099f8e0d76a6e174856be65f908d27a203f,2,meningioma,sin_particion,False,False,meningioma/1218.jpg | meningioma/1384.jpg
1a00cefe0367a5ac602022ed5ca69d4ffeb579b9b04164fbfe45689455e9d00c,2,meningioma,sin_particion,False,False,meningioma/0102.jpg | meningioma/1522.jpg
1a47de2c97d0c4e90de5e54eaf740ff7c8885cbb29fab713e6289dfd03f2e4e0,2,healthy,sin_particion,False,False,healthy/0254.jpg | healthy/1775.jpg
1a997c713c520bfd8dc6a8f9f5940a6a97a3370d5834bc43925d09e52a9cace3,2,meningioma,sin_particion,False,False,meningioma/1247.jpg | meningioma/1507.jpg
1b0cca9b76cfbfcdd8e47c1f41b36b2bbd4f1ffd234158e51ce6fc8a8c4cd97c,2,healthy,sin_particion,False,False,healthy/0231.jpg | healthy/0265.jpg
1b37add34083b66095be469bf00ac4147e50fd104d9438a8380ad025e247d5a7,2,meningioma,sin_particion,False,False,meningioma/0237.jpg | meningioma/1446.jpg
1c1ef5d4bbe2c57f44524ec5314bbd337f0933d9fa0bfef06c60833f8c24e145,2,meningioma,sin_particion,False,False,meningioma/1302.jpg | meningioma/1511.jpg
1cc8588e83276bfe1fb5500c98fcbcc8cd6717bb5f555bbbcdb13c9d3254c82e,2,healthy,sin_particion,False,False,healthy/0696.jpg | healthy/1077.jpg
1d7a3883d310b4b5738baff21acab9945a7c1efa5060b2cca5328e6c4dad46c6,5,healthy,sin_particion,False,False,healthy/1249.jpg | healthy/1426.jpg | healthy/1565.jpg | healthy/1748.jpg | healthy/1878.jpg
1e35d463b8b5c6ee06177f7300007c4e0e79325eaca543fe6dde0d8678dab494,2,healthy,sin_particion,False,False,healthy/1351.jpg | healthy/1714.jpg
1e6ca6a52fdc6cbfe7e2f450c7a0ecfa597c513925f5090ac2ed3cf44dbc548f,2,healthy,sin_particion,False,False,healthy/1318.jpg | healthy/1814.jpg
1f35b6c4139f69158a5334fc626d4f008cbbe02f1caa4af5967ca264be4c6b02,2,healthy,sin_particion,False,False,healthy/0664.jpg | healthy/0690.jpg
1fccd3a6a43116639b074edb8091a79dc1c69e70d874e5b37b7de9b26a006646,3,healthy,sin_particion,False,False,healthy/0060.jpg | healthy/0983.jpg | healthy/1562.jpg
20358acdad9b04e54aa571ad962e01b07a076f7ec246baa61145efae23a4f382,2,meningioma,sin_particion,False,False,meningioma/0876.jpg | meningioma/1551.jpg
20600c52c0a41dc676ac0435414278d23db2b5eb1a0af130b867337a5ad18a33,2,healthy,sin_particion,False,False,healthy/0097.jpg | healthy/0409.jpg
21f080b45d38a69d9cb30641b5e838eff20e98ffa4ac52a7a6ef1506b71f1080,3,healthy,sin_particion,False,False,healthy/0006.jpg | healthy/0271.jpg | healthy/1173.jpg
22ff6a21c5f8a5d6b2a8b05576f31f60d769c72dafdab7ea31a76c3921f0d735,2,meningioma,sin_particion,False,False,meningioma/1060.jpg | meningioma/1344.jpg
