ruta_relativa,particion,clase,extension,tamano_bytes,sha256,imagen_legible,archivo_imagen,archivo_vacio,extension_no_esperada,error_lectura,formato,width,height,relacion_aspecto,numero_pixeles,modo_color,canales,dimension_atipica
glioma/0000.jpg,sin_particion,glioma,.jpg,37487,fa9c93f2983e77aa7ce0c3324420048e7bcbe0037cb19b8121ba5bd9dd69f202,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0001.jpg,sin_particion,glioma,.jpg,41481,da390450176d32fa5f69c4b62fdf7e7c5c468de59e617ed3101a6d9ce81ba91f,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0002.jpg,sin_particion,glioma,.jpg,46337,13509e45c804999bb70316d0d4ad406f19bd36ebbc97dd8ecc6279699f7f9978,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0003.jpg,sin_particion,glioma,.jpg,35462,e0a22c7d00185196d522420cc5f52401a8822ff41524abbf359082e5eb2b7750,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0004.jpg,sin_particion,glioma,.jpg,32793,e4573da29b862b9bcbc1bbbce5679200fff95dfe295b3e11173ddfaacb8fe938,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0005.jpg,sin_particion,glioma,.jpg,28880,1a857a244017283dbfaa7f4a9bef06b01b5942c5eef6637bd56e59990ddfc63d,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0006.jpg,sin_particion,glioma,.jpg,38499,12fce24a533e4f505153429989cf3c0d25a6a77466916861dccbec127b51f5f4,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0007.jpg,sin_particion,glioma,.jpg,39605,be87b16bbe3a5238f379e237ff91a6f4077a5d6aae46e823ca3fdbb0e811c1ee,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0008.jpg,sin_particion,glioma,.jpg,26908,c224e57af03ea439b826535e2df147a5178623629ab4d9aed44469e91272e82b,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0009.jpg,sin_particion,glioma,.jpg,27786,c0a96bd62b5a5271a1b5c31050c9ae352fb48e7d208070f73d4c56593bce38c7,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0010.jpg,sin_particion,glioma,.jpg,24696,cdb1061c76b3b4f646462666fd481f3dcad9f9fc2309f1208d581979f765e567,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0011.jpg,sin_particion,glioma,.jpg,32836,0eeae1b65b17b14973c6ed6d1aaa00d20f37baa94cb7d79abea758b78b5464d7,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0012.jpg,sin_particion,glioma,.jpg,49579,d87e9d4c9fccec72ede0a50d1814e83402b34f39d5dfbd91bd6371eabb7c9e15,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0013.jpg,sin_particion,glioma,.jpg,44676,d9baf9fe5811b6883977eee7b7df59302e302a289ce691b4a30e9627aff7b247,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0014.jpg,sin_particion,glioma,.jpg,32415,230d9d2a3f6530605cbd1248b8162113ade297ab34dc4adafb2e522efe6a8d74,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0015.jpg,sin_particion,glioma,.jpg,31717,a7cd097f81b757d3f71bb39f6035ae927e78cb2580bee0480f32b275fd580f6b,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0016.jpg,sin_particion,glioma,.jpg,29479,86effa8bc5d3a765d933f92620d8123eefe93432bb3811de49133124cb86f5f9,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0017.jpg,sin_particion,glioma,.jpg,32890,b98473b19c96cecdbd490f5921053b7a57652a4acc6a9a34fc91596f8ba613aa,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0018.jpg,sin_particion,glioma,.jpg,31926,80d7eab7f410172d419328ff51d820fb0ab7e838a0b77b7e57c4569216f79f35,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0019.jpg,sin_particion,glioma,.jpg,36567,59688f6306a1e5c104434d3ffc18ba7e38edeaf3532bf50383b092ee9363456a,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0020.jpg,sin_particion,glioma,.jpg,33852,16109fac14bfa0365b645e8d2789bd4e0875e5d477e7ae980fcfe86ede9bbbe9,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0021.jpg,sin_particion,glioma,.jpg,36086,d299f70366983e86e1d43a16df44f7ab0b40b2e4e66dc1b49f3c22e66b7873de,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
glioma/0022.jpg,sin_particion,glioma,.jpg,25398,63286bbfec45e1351eb9917df48ef23f8400e2d0d54d54debada1527ebe2f8bd,True,True,False,False,,JPEG,512,512,1.0,262144,RGB,3,False
